ID,Lib_Protocol,SRA,col0,ID_fasta,GenesSAPA_onlySACE,PhyloGroup_SACE469,Region_Pre,Region_New,YMX_NumID,Subgroup_New,Subgroup_Pre,Figura2
XA072c4,PE,,17,XA072c4,140,MMMG,Southcentral,South central,YMX001756,MMMG_South central,MMMG_Southcentral,1
XA074c2,PE,,18,XA074c2,156,MMMG,Southcentral,South central,YMX001922,MMMG_South central,MMMG_Southcentral,1
XA081c6,PE,,19,XA081c6,140,MMMG,Center,Central highlands,YMX001566,MMMG_Central highlands,MMMG_Center,1
XA083c6,PE,,21,XA083c6,168,MMMG,Center,Central highlands,YMX002190,MMMG_Central highlands,MMMG_Center,1
XA097c4,PE,,23,XA097c4,160,MMMG,Center,Central highlands,YMX002116,MMMG_Central highlands,MMMG_Center,1
XA098c2,PE,,24,XA098c2,156,MMMG,Center,Central highlands,YMX002090,MMMG_Central highlands,MMMG_Center,1
XA121c18,PE,,28,XA121c18,184,Tamaulipas,Northeast,Northeast,YMX003402,Tamaulipas_Northeast,Tamaulipas_Northeast,1
XA121c20,PE,,29,XA121c20,139,Tamaulipas,Northeast,Northeast,YMX003404,Tamaulipas_Northeast,Tamaulipas_Northeast,1
XA121c6,PE,,30,XA121c6,172,Tamaulipas,Northeast,Northeast,YMX003390,Tamaulipas_Northeast,Tamaulipas_Northeast,1
XA124c1,PE,,31,XA124c1,29,NortAmOak,Northeast,Northeast,YMX003337,NortAmOak_Northeast,NortAmOak_Northeast,1
XA125c5,PE,,32,XA125c5,74,NortAmOak,Northeast,Northeast,YMX001901,NortAmOak_Northeast,NortAmOak_Northeast,1
XA126c1,PE,,33,XA126c1,40,NortAmOak,Northeast,Northeast,YMX001945,NortAmOak_Northeast,NortAmOak_Northeast,1
XA126c5,PE,,34,XA126c5,34,NortAmOak,Northeast,Northeast,YMX001949,NortAmOak_Northeast,NortAmOak_Northeast,1
XA126c7,PE,,35,XA126c7,165,Tamaulipas,Northeast,Northeast,YMX001951,Tamaulipas_Northeast,Tamaulipas_Northeast,1
XA131c18,PE,,38,XA131c18,131,MMMG,Southcentral,South central,YMX002466,MMMG_South central,MMMG_Southcentral,1
XA132c2,PE,,43,XA132c2,152,MMMG,Southcentral,South central,YMX002642,MMMG_South central,MMMG_Southcentral,1
XA133c5,PE,,44,XA133c5,134,MMMG,Southcentral,South central,YMX002573,MMMG_South central,MMMG_Southcentral,1
XA134c1,PE,,45,XA134c1,1,MMMG,Southcentral,South central,YMX002401,MMMG_South central,MMMG_Southcentral,1
XA142c1,PE,,46,XA142c1,141,MMMG,Southcentral,South central,YMX003889,MMMG_South central,MMMG_Southcentral,1
XA143c7,PE,,47,XA143c7,160,MMMG,Southcentral,South central,YMX002479,MMMG_South central,MMMG_Southcentral,1
XA144c3,PE,,48,XA144c3,161,MMMG,Southcentral,South central,YMX002547,MMMG_South central,MMMG_Southcentral,1
XA145c3,PE,,49,XA145c3,145,MMMG,Southcentral,South central,YMX002427,MMMG_South central,MMMG_Southcentral,1
XA146c1,PE,,50,XA146c1,128,MMMG,Southcentral,South central,YMX002353,MMMG_South central,MMMG_Southcentral,1
XA154c1,PE,,54,XA154c1,141,MMMG,West,West II,YMX003529,MMMG_West II,MMMG_West,1
XA186c3,PE,,56,XA186c3,157,MMMG,Northwest,West I,YMX003051,MMMG_West I,MMMG_Northwest,1
XA189c1,PE,,58,XA189c1,151,MMMG,Northwest,West I,YMX003433,MMMG_West I,MMMG_Northwest,1
XA190c1,PE,,59,XA190c1,1,MMMG,Northwest,West I,YMX002833,MMMG_West I,MMMG_Northwest,1
XA191c2,PE,,60,XA191c2,155,MMMG,Northwest,West I,YMX003938,MMMG_West I,MMMG_Northwest,1
XA196c1,PE,,61,XA196c1,139,MMMG,Northwest,West I,YMX002857,MMMG_West I,MMMG_Northwest,1
XA197c1,PE,,62,XA197c1,150,MMMG,Northwest,West I,YMX002809,MMMG_West I,MMMG_Northwest,1
XA200c2,PE,,63,XA200c2,145,MMMG,Northwest,West I,YMX003002,MMMG_West I,MMMG_Northwest,1
XA211c1,PE,,65,XA211c1,160,MMMG,West,West II,YMX004033,MMMG_West II,MMMG_West,1
