Comparación	Mean_Fst	Weighted_Fst
MosR3_Wine_vs_Tamaulipas	0.50516	0.63132
MosR3_Wine_vs_Tequila	0.10357	0.2837
MosR3_Wine_vs_Wine12	0.12605	0.56354
MosR3_Wine_vs_Wine14	0.40616	0.63557
MR2_Wine_vs_NortAmOak	0.16438	0.50042
MR2_Wine_vs_Sake_AsianFerm	0.35463	0.69953
MR2_Wine_vs_SAM1	0.30424	0.71178
MR2_Wine_vs_SAM2	0.10686	0.43479
MR2_Wine_vs_SAM3	0.012402	0.30692
MR2_Wine_vs_Taiwanese	0.84992	0.92221
MR2_Wine_vs_Taiwan	0.81779	0.90042
MR2_Wine_vs_Tamaulipas	0.48151	0.65275
MR2_Wine_vs_Tequila	0.093312	0.32565
MR2_Wine_vs_Wine12	0.038019	0.57946
MR2_Wine_vs_Wine14	0.3671	0.67739
NortAmOak_vs_Sake_AsianFerm	0.16999	0.39691
NortAmOak_vs_SAM1	0.22392	0.48515
NortAmOak_vs_SAM2	0.2661	0.4825
NortAmOak_vs_SAM3	0.2334	0.48394
NortAmOak_vs_Taiwanese	0.22566	0.7768
NortAmOak_vs_Taiwan	-0.00088724	0.36544
NortAmOak_vs_Tamaulipas	0.38403	0.61166
NortAmOak_vs_Tequila	0.21092	0.38918
NortAmOak_vs_Wine12	0.27839	0.64273
NortAmOak_vs_Wine14	0.31783	0.61934
Sake_AsianFerm_vs_SAM1	0.28087	0.64501
Sake_AsianFerm_vs_SAM2	0.29516	0.61549
Sake_AsianFerm_vs_SAM3	0.2886	0.5966
Sake_AsianFerm_vs_Taiwanese	0.49911	0.86134
Sake_AsianFerm_vs_Taiwan	0.22839	0.62195
Sake_AsianFerm_vs_Tamaulipas	0.45448	0.73557
Sake_AsianFerm_vs_Tequila	0.25981	0.51508
Sake_AsianFerm_vs_Wine12	0.35133	0.77914
Sake_AsianFerm_vs_Wine14	0.42455	0.78063
SAM1_vs_SAM2	0.39195	0.66216
SAM1_vs_SAM3	0.29404	0.64039
SAM1_vs_Taiwanese	0.44525	0.88365
SAM1_vs_Taiwan	0.18809	0.67142
SAM1_vs_Tamaulipas	0.46216	0.73498
SAM1_vs_Tequila	0.29768	0.5756
SAM1_vs_Wine12	0.31768	0.76286
SAM1_vs_Wine14	0.40021	0.76502
SAM2_vs_SAM3	0.23095	0.46063
SAM2_vs_Taiwanese	0.23693	0.736
SAM2_vs_Taiwan	0.19486	0.5561
SAM2_vs_Tamaulipas	0.25626	0.42522
SAM2_vs_Tequila	0.13109	0.22604
SAM2_vs_Wine12	0.26479	0.63677
SAM2_vs_Wine14	0.27881	0.60569
SAM3_vs_Taiwanese	0.34491	0.81199
SAM3_vs_Taiwan	0.21445	0.60072
SAM3_vs_Tamaulipas	0.24994	0.52024
SAM3_vs_Tequila	0.14419	0.28677
SAM3_vs_Wine12	0.080364	0.22531
SAM3_vs_Wine14	0.11486	0.28662
Taiwanese_vs_Taiwan	0.9947	0.99755
Taiwanese_vs_Tamaulipas	0.73037	0.88021
